"om","date","fips"
690,2010-06-17,27043
691,2010-06-17,27119
692,2010-06-17,27043
697,2010-06-17,27047
699,2010-06-17,27047
702,2010-06-17,27047
705,2010-06-17,27147
706,2010-06-17,27147
708,2010-06-17,27000
708,2010-06-17,27025
718,2010-06-20,30111
723,2010-06-20,31129
744,2010-06-21,30075
747,2010-06-21,55133
780,2010-06-25,27015
782,2010-06-25,27103
784,2010-06-25,27013
787,2010-06-25,27013
793,2010-06-25,19119
510,2010-06-01,19159
520,2010-06-02,48007
536,2010-06-05,17095
539,2010-06-05,17155
544,2010-06-05,17123
546,2010-06-05,17179
548,2010-06-05,17105
549,2010-06-05,17105
552,2010-06-05,39051
556,2010-06-05,17091
558,2010-06-05,39173
559,2010-06-05,26021
562,2010-06-05,26027
565,2010-06-05,26149
568,2010-06-05,18017
571,2010-06-06,26115
877,2010-07-14,38073
884,2010-07-14,55093
886,2010-07-14,55093
934,2010-07-22,55133
940,2010-07-23,42127
950,2010-07-24,36013
951,2010-07-24,36009
960,2010-07-26,30091
968,2010-07-27,55003
834,2010-07-02,30067
1002,2010-08-10,38035
1018,2010-08-12,38013
991,2010-08-07,38000
991,2010-08-07,38077
991,2010-08-07,27167
1066,2010-09-16,39169
1071,2010-09-16,39127
1077,2010-09-16,39009
1078,2010-09-16,39000
1078,2010-09-16,39105
1078,2010-09-16,54107
1044,2010-09-08,48113
350737,2011-10-18,12011
355015,2011-11-14,36013
355016,2011-11-14,36013
353322,2011-11-16,28067
350974,2011-11-16,1119
350981,2011-11-16,1000
350981,2011-11-16,13145
354821,2011-11-16,45091
351147,2011-11-16,37057
353594,2011-11-07,48000
353594,2011-11-07,40065
348670,2011-11-08,22031
357512,2011-12-22,13115
357513,2011-12-22,13115
272481,2011-01-01,28007
272715,2011-01-01,28069
272720,2011-01-01,28103
290152,2011-02-24,28055
278691,2011-02-24,21047
332543,2011-02-24,47017
318252,2011-02-24,47037
284965,2011-02-24,47189
284640,2011-02-27,17119
286550,2011-02-28,17189
284642,2011-02-28,17051
284645,2011-02-28,17051
280345,2011-02-28,18051
287396,2011-02-28,18037
286984,2011-02-28,21103
291036,2011-02-28,47127
279357,2011-03-22,19121
292990,2011-03-23,42129
290014,2011-03-23,47185
282100,2011-03-23,47009
292185,2011-03-05,22001
285235,2011-03-09,28049
280605,2011-03-09,22103
295256,2011-03-09,1097
295279,2011-03-09,1003
285243,2011-04-10,55073
293736,2011-04-10,55001
285272,2011-04-10,55041
285307,2011-04-10,55087
302759,2011-04-14,40113
285080,2011-04-14,40005
302789,2011-04-14,40041
302814,2011-04-14,40127
289563,2011-04-15,5085
302467,2011-04-15,28049
297476,2011-04-15,1129
302506,2011-04-15,28099
302506,2011-04-15,28000
302506,2011-04-15,1119
