id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
121092,SAL-1990-1-225-39,1990,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Reuters,1990-07-17,SALVADOR ARMY CAPTAIN SLAIN, MILITARY BLAMES REBELS . """,Reuters,1990-07-17,"SALVADOR ARMY CAPTAIN SLAIN, MILITARY BLAMES REBELS . ","armed forces/army spokesman, Red Cross",1,Santa Tecla town,Santa Tecla town,La Libertad department,Santa Tecla municipality,13.676944,-89.279722,POINT (-89.279722 13.676944),149222,El Salvador,92,Americas,1,1,07/17/1990 00:00:00,07/17/1990 00:00:00,0,0,0,0,0,1,0,
121094,SAL-1990-1-225-40,1990,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""BBC ,1990-08-29,12 rebels, four soldiers reported killed . """,BBC ,1990-08-29,"12 rebels, four soldiers reported killed . ",commander of the Sixth Infantry Brigade,4,Usulután department,Usulutan department,Usulután department,,13.433333,-88.533333,POINT (-88.533333 13.433333),148503,El Salvador,92,Americas,1,1,08/23/1990 00:00:00,08/23/1990 00:00:00,4,12,0,0,16,16,16,
121095,SAL-1990-1-225-41,1990,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""BBC,1990-09-15,23 FMLN members reported killed in clashes . """,BBC,1990-09-15,23 FMLN members reported killed in clashes . ,Radio YSU,4,Chalatenango department,Chalatenango department(rural areas),Chalatenango department,,14.133333,-89.016667,POINT (-89.016667 14.133333),149942,El Salvador,92,Americas,1,1,09/12/1990 00:00:00,09/12/1990 00:00:00,4,23,0,0,27,27,27,
121096,SAL-1990-1-225-42,1990,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Reuters,1990-09-17,ARMY SAYS 25 KILLED OR WOUNDED IN WEEKEND SALVADOR FIGHTING . """,Reuters,1990-09-17,ARMY SAYS 25 KILLED OR WOUNDED IN WEEKEND SALVADOR FIGHTING . ,armed forces press office,2,San Simón town,San Simon town (outskirts),Morazán department,San Simón municipality,13.833333,-88.233333,POINT (-88.233333 13.833333),149224,El Salvador,92,Americas,1,2,09/15/1990 00:00:00,09/16/1990 00:00:00,1,5,0,0,6,6,6,
121097,SAL-1990-1-225-43,1990,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""BBC,1990-09-18,FMLN accuses government of increased repression, Spaniard killed . """,BBC,1990-09-18,"FMLN accuses government of increased repression, Spaniard killed . ",Radio Venceremos (FMLN),6,El Salvador,El Salvador,,,13.833300,-88.916700,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,2,2,09/10/1990 00:00:00,09/12/1990 00:00:00,0,0,0,0,0,4,0,
121098,SAL-1990-1-225-44,1990,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,2,"""Reuters ,1990-02-23,GUERRILLAS KILL THREE, WOUND 10 IN EL SALVADOR ."";""Reuters,1990-02-23,SALVADOREAN REBELS KILL SOLDIER, SABOTAGE POWER LINES . """,Reuters ;Reuters,1990-02-23;1990-02-23,"GUERRILLAS KILL THREE, WOUND 10 IN EL SALVADOR .;SALVADOREAN REBELS KILL SOLDIER, SABOTAGE POWER LINES . ",officials,6,El Salvador,armed forces headquarters,,,13.833300,-88.916700,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,2,1,02/23/1990 00:00:00,02/23/1990 00:00:00,1,0,0,0,1,1,1,
121115,SAL-1990-1-225-33.2,1990,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""The Globe and Mail ,1990-12-13,WORLD IN BRIEF Rebels attack army""",The Globe and Mail ,1990-12-13,WORLD IN BRIEF Rebels attack army,"military spokesman
",4,Usulután department,"Usulutan department
",Usulután department,,13.433333,-88.533333,POINT (-88.533333 13.433333),148503,El Salvador,92,Americas,1,1,12/12/1990 00:00:00,12/12/1990 00:00:00,0,0,0,25,25,26,25,
157049,HON-2014-2-422-1,2014,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""EFE News Service,2014-08-10,8 Die in shootout in Honduras""",EFE News Service,2014-08-10,8 Die in shootout in Honduras,National Police criminal investigation unit ,1,Tegucigalpa city,Tegucigalpa city (Las Torres neighborhood) ,Francisco Morazán department,Distrito Central municipality,14.100000,-87.216667,POINT (-87.216667 14.1),149946,Honduras,91,Americas,1,1,08/09/2014 00:00:00,08/09/2014 00:00:00,0,0,0,8,8,8,8,
157051,HON-2014-2-422-2,2014,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""Associated Press Newswires,2014-09-16,8 killed in drug dispute in northern Honduras""",Associated Press Newswires,2014-09-16,8 killed in drug dispute in northern Honduras,Honduran authorities,1,San Pedro Sula town,San Pedro Sula town,Cortés department,San Pedro Sula municipality,15.504167,-88.025000,POINT (-88.025 15.504167),152104,Honduras,91,Americas,1,1,09/14/2014 00:00:00,09/14/2014 00:00:00,8,0,0,0,8,8,8,
157058,HON-2014-2-422-3,2014,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""BBC,2014-05-05,Five Honduran youth gang members killed in jail fight""",BBC,2014-05-05,Five Honduran youth gang members killed in jail fight,Officials ,1,San Pedro Sula town,San Pedro Sula town,Cortés department,San Pedro Sula municipality,15.504167,-88.025000,POINT (-88.025 15.504167),152104,Honduras,91,Americas,1,1,05/05/2014 00:00:00,05/05/2014 00:00:00,5,0,0,0,5,5,5,
182203,MEX-2008-2-142-200,2008,True,Clear,2,5306,4696,Gulf Cartel - Sinaloa Cartel,5306,5306,Gulf Cartel - Sinaloa Cartel,782,782,Gulf Cartel,775,775,Sinaloa Cartel,-1,"AP 26 March 2008 ""Guatemala investigating whether Mexican drug lord among 11 killed in shootout"" / X 10 April 2008 ""Five Mexicans arrested in Guatemala for suspected of killing",,,,police sources,3,Teculután municipality,"Teculutan, Zacapa province, Northeastern Guatemala",Zacapa department,Teculután municipality,14.983330,-89.716670,POINT (-89.71667 14.98333),150661,Guatemala,90,Americas,1,1,03/25/2008 00:00:00,03/25/2008 00:00:00,0,0,0,11,11,11,11,
182207,MEX-2008-2-142-204,2008,True,Clear,2,5306,4696,Gulf Cartel - Sinaloa Cartel,5306,5306,Gulf Cartel - Sinaloa Cartel,782,782,Gulf Cartel,775,775,Sinaloa Cartel,-1,"AP 1 Dec 2008 ""Feud over horse race leads to 17 Guatemala deaths"" / Trend News Agency (Azerbaijan) 6 Dec 2008 ""Mexican drug cartels infiltrating Guatemala"" /2009 Oscar Becerra ""A to Z of crime - Mexico's Zetas expand operations"" in Jane's Intelligence Review / El Universal 3 Dec 2008 ""Ven a ‘El Chapo’ y ‘Zetas’ tras la matanza",,,,Police spokesman,1,Santa Ana Huista town,"town of Santa Ana Huista, Guatemala",Huehuetenango department,Santa Ana Huista municipality,15.680470,-91.820640,POINT (-91.82064 15.68047),152097,Guatemala,90,Americas,1,1,11/30/2008 00:00:00,11/30/2008 00:00:00,0,0,0,17,17,18,17,
182821,MEX-2010-2-142-853,2010,True,Clear,2,5306,4696,Gulf Cartel - Sinaloa Cartel,5306,5306,Gulf Cartel - Sinaloa Cartel,782,782,Gulf Cartel,775,775,Sinaloa Cartel,-1,"R 11 April 2010 ""Drug gangs kill nine in Honduras as violence grows",,,,Police spokesman,1,Tegucigalpa city,"Tegucigalpa city,  Honduras",Francisco Morazán department,Distrito Central municipality,14.100000,-87.216667,POINT (-87.216667 14.1),149946,Honduras,91,Americas,1,1,04/10/2010 00:00:00,04/10/2010 00:00:00,0,0,0,9,9,9,9,
183696,MEX-2011-3-1973-163,2011,True,Clear,3,1088,629,Los Zetas - Civilians,1088,1096,Los Zetas - Civilians,1088,1088,Los Zetas,9999,1,Civilians,-1,"AFP 15 May 2011 ""At least 27 killed in attack on Guatemala farm: police"" /(2)AFP 16 May 2011 ""Mexican drug gang suspected in Guatemala massacre"" /(3)AP 16 May 2011 ""Guatemala: Zetas drug gang responsible for massacre of 27 people near Mexico border"" /(4)EFE 16 May 2011 ""Mexico's Zetas cartel behind massacre of 28 in Guatemala"" /(5)EFE 22 May 2011 ""Guatemalan police arrest 3 suspected Zetas cartel members",,,,Police spokesman,1,La Libertad town,"La Libertad town (Department of Peten), Peten, Guatemala",Petén department,La Libertad municipality,16.783333,-90.116667,POINT (-90.116667 16.783333),153540,Guatemala,90,Americas,1,2,05/14/2011 00:00:00,05/15/2011 00:00:00,0,0,27,0,27,27,27,
183697,MEX-2011-3-1973-165,2011,True,Clear,3,1088,629,Los Zetas - Civilians,1088,1096,Los Zetas - Civilians,1088,1088,Los Zetas,9999,1,Civilians,-1,"ICG: Drug trafficking and violence, Latin America report no 39 - 11 October 2012",,,,,4,Petén department,"Petén, Peten, Guatemala",Petén department,,16.833330,-90.000000,POINT (-90 16.83333),153541,Guatemala,90,Americas,1,5,01/01/2011 00:00:00,05/15/2011 00:00:00,0,0,0,0,0,2,0,
185503,GUA-2009-2-113-0,2009,False,Clear,2,5278,4668,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),5278,5278,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),776,776,Mara 18 (Guatemala),777,777,Mara Salvatrucha (Guatemala),1,"""Reuters News,2009-05-08,Teenager kills brother in Guatemala gang shootout""",Reuters News,2009-05-08,Teenager kills brother in Guatemala gang shootout,police spokesman Marco Trejo,1,Guatemala city,Guatemala city,Guatemala department,Guatemala municipality,14.613333,-90.535278,POINT (-90.535278 14.613333),150659,Guatemala,90,Americas,1,1,05/08/2009 00:00:00,05/08/2009 00:00:00,0,1,0,0,1,1,1,
185505,GUA-2008-2-113-0,2008,False,Clear,2,5278,4668,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),5278,5278,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),776,776,Mara 18 (Guatemala),777,777,Mara Salvatrucha (Guatemala),1,"""EFE,2008-01-20,Suspected gang members kill 7 in Guatemala""",EFE,2008-01-20,Suspected gang members kill 7 in Guatemala,Police spokesman,1,Guatemala city,"Chinautla, a poor neighborhood in northern Guatemala City ",Guatemala department,Guatemala municipality,14.613333,-90.535278,POINT (-90.535278 14.613333),150659,Guatemala,90,Americas,1,1,01/19/2008 00:00:00,01/19/2008 00:00:00,0,7,0,0,7,7,7,
185506,GUA-2008-2-113-1,2008,False,Clear,2,5278,4668,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),5278,5278,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),776,776,Mara 18 (Guatemala),777,777,Mara Salvatrucha (Guatemala),1,"""EFE,2008-11-02,Guatemalan gang members kill 4 rivals, wound woman and girl""",EFE,2008-11-02,"Guatemalan gang members kill 4 rivals, wound woman and girl",Police spokesman,2,La Bendición de Dios,"near the town of La Bendicion, Western Guatemala",Huehuetenango department,Nentón municipality,16.008260,-91.549810,POINT (-91.54981 16.00826),152817,Guatemala,90,Americas,1,1,11/01/2008 00:00:00,11/01/2008 00:00:00,0,4,0,0,4,4,4,
185995,GUA-2008-2-113-2,2008,False,Clear,2,5278,4668,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),5278,5278,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),776,776,Mara 18 (Guatemala),777,777,Mara Salvatrucha (Guatemala),1,"""EFE,2008-06-14,Prison fight in Guatemala leaves two inmates dead""",EFE,2008-06-14,Prison fight in Guatemala leaves two inmates dead,Police spokesman,1,Quetzaltenango town,a prison in the western Guatemalan city of Quetzaltenango ,Quetzaltenango department,Quetzaltenango municipality,14.833333,-91.516667,POINT (-91.516667 14.8333333),150657,Guatemala,90,Americas,1,1,06/13/2008 00:00:00,06/13/2008 00:00:00,0,0,0,2,2,2,2,
185998,GUA-2005-2-113-1,2005,True,Clear,2,5278,4668,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),5278,5278,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),776,776,Mara 18 (Guatemala),777,777,Mara Salvatrucha (Guatemala),1,"""Reuters,2005-01-15,Gunmen kill six in Guatemala quarry, gangs feared""",Reuters,2005-01-15,"Gunmen kill six in Guatemala quarry, gangs feared",police,1,Guatemala city,Guatemala City ,Guatemala department,Guatemala municipality,14.613333,-90.535278,POINT (-90.535278 14.613333),150659,Guatemala,90,Americas,1,1,01/14/2005 00:00:00,01/14/2005 00:00:00,0,0,0,6,6,6,6,
185999,GUA-2005-2-113-2,2005,True,Clear,2,5278,4668,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),5278,5278,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),776,776,Mara 18 (Guatemala),777,777,Mara Salvatrucha (Guatemala),2,"""Reuters,2005-09-19,Three killed in new Guatemala gang prison fight"";""Agence France Presse,2005-09-20,At least 14 killed in Guatemala juvenile prison riot""",Reuters;Agence France Presse,2005-09-19;2005-09-20,Three killed in new Guatemala gang prison fight;At least 14 killed in Guatemala juvenile prison riot,police ,1,San Jose Pinula town,the prison in San Jose Pinula near Guatemala City,Guatemala department,San Jose Pinula municipality,14.546111,-90.411389,POINT (-90.411389 14.546111),150660,Guatemala,90,Americas,1,1,09/19/2005 00:00:00,09/19/2005 00:00:00,0,0,0,14,14,14,14,
186002,GUA-2005-2-113-0.2,2005,True,Clear,2,5278,4668,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),5278,5278,Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala),776,776,Mara 18 (Guatemala),777,777,Mara Salvatrucha (Guatemala),1,"""EFE News Service,2005-08-15,10 Reported dead in Guatemalan prison riot""",EFE News Service,2005-08-15,10 Reported dead in Guatemalan prison riot,police and emergency medical personnel,2,Guatemala city,"El Hoyon and Canada prisons in or near Escuintla, 55 kilometers (32 miles) south of the capital Guatemala City, and in the Pavon penitentiary on Guatemala City's southeastern outskirts. ",Guatemala department,Guatemala municipality,14.613333,-90.535278,POINT (-90.535278 14.613333),150659,Guatemala,90,Americas,1,1,08/15/2005 00:00:00,08/15/2005 00:00:00,0,0,0,18,18,18,18,
186051,GUA-2007-3-90-0,2007,False,Clear,3,11,445,Government of Guatemala - Civilians,11,912,Government of Guatemala - Civilians,11,11,Government of Guatemala,9999,1,Civilians,1,"""EFE,2007-09-25,EFE""",EFE,2007-09-25,EFE,,4,Guatemala department,"El Gallito, south of Guatamala City",Guatemala department,,14.666667,-90.500000,POINT (-90.5 14.666667),150660,Guatemala,90,Americas,1,1,09/25/2007 00:00:00,09/25/2007 00:00:00,0,0,5,0,5,5,5,
186057,GUA-2005-3-90-0,2005,False,Clear,3,11,445,Government of Guatemala - Civilians,11,912,Government of Guatemala - Civilians,11,11,Government of Guatemala,9999,1,Civilians,1,"""EFE News Service,2005-03-15,Two dead in Guatemala protests against trade deal with U.S.""",EFE News Service,2005-03-15,Two dead in Guatemala protests against trade deal with U.S.,A spokesman for firefighters in Colotenango,1,Colotenango town,"Colotenango, 280 kilometers (174 miles) northeast of Guatemala City",Huehuetenango department,Colotenango municipality,15.416667,-91.716667,POINT (-91.716667 15.416667),151377,Guatemala,90,Americas,1,1,03/15/2005 00:00:00,03/15/2005 00:00:00,0,0,2,0,2,2,2,
193051,HON-2000-2-422-0,2000,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),2,"""EFE News Service,2000-07-29,HONDURAS-GANGS SIX KILLED IN HONDURAN GANG VIOLENCE"";""EFE News Service,2000-08-03,HONDURAS-GANGS ARMED GANGS TERRORIZE HONDURAN URBAN TRANSPORTATION DRIVERS""",EFE News Service;EFE News Service,2000-07-29;2000-08-03,HONDURAS-GANGS SIX KILLED IN HONDURAN GANG VIOLENCE;HONDURAS-GANGS ARMED GANGS TERRORIZE HONDURAN URBAN TRANSPORTATION DRIVERS,police,1,Choloma town,Choloma,Cortés department,Choloma municipality,15.614440,-87.953020,POINT (-87.95302 15.61444),152105,Honduras,91,Americas,1,1,07/29/2000 00:00:00,07/29/2000 00:00:00,0,6,0,0,6,6,6,
193052,HON-2003-2-422-0,2003,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""Europa Press - Servicio Latinoamericano,2003-05-03,Al menos dos muertos y seis heridos en un enfrentamiento en una cárcel hondureña""",Europa Press - Servicio Latinoamericano,2003-05-03,Al menos dos muertos y seis heridos en un enfrentamiento en una cárcel hondureña,police,1,Tela town,"Prison in Tela, 350 km north of the capital",Atlántida department,Tela municipality,15.774250,-87.467310,POINT (-87.46731 15.77425),152106,Honduras,91,Americas,1,1,03/04/2003 00:00:00,03/04/2003 00:00:00,2,0,0,0,2,2,2,
193053,HON-2003-2-422-1,2003,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""Agencia Mexicana de Noticias, NOTIMEX,2003-03-22,MUEREN ASFIXIADOS SIETE PANDILLEROS JUVENILES EN CARCEL HONDUREÑA.""","Agencia Mexicana de Noticias, NOTIMEX",2003-03-22,MUEREN ASFIXIADOS SIETE PANDILLEROS JUVENILES EN CARCEL HONDUREÑA.,public ministry,1,San Pedro Sula town,San Pedro Sula town,Cortés department,San Pedro Sula municipality,15.504167,-88.025000,POINT (-88.025 15.504167),152104,Honduras,91,Americas,1,1,03/22/2003 00:00:00,03/22/2003 00:00:00,0,0,7,0,7,7,7,
193173,HON-2003-2-422-4,2003,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""Reuters - Noticias Latinoamericanas,2003-04-13,Doce muertos en Honduras por presunta disputa entre narcos.""",Reuters - Noticias Latinoamericanas,2003-04-13,Doce muertos en Honduras por presunta disputa entre narcos.,authorities,1,San Pedro Sula town,San Pedro Sula town,Cortés department,San Pedro Sula municipality,15.504167,-88.025000,POINT (-88.025 15.504167),152104,Honduras,91,Americas,1,1,04/13/2003 00:00:00,04/13/2003 00:00:00,0,0,0,12,12,12,12,
193176,HON-2003-2-422-2,2003,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""EFE News Service,2003-07-02,Inmates kill gang member involved in massacre in Honduras""",EFE News Service,2003-07-02,Inmates kill gang member involved in massacre in Honduras,officials,1,Támara town,The main prison in Honduras,Francisco Morazán department,Distrito Central municipality,14.150000,-87.333330,POINT (-87.33333 14.15),149946,Honduras,91,Americas,1,1,07/02/2003 00:00:00,07/02/2003 00:00:00,0,0,0,1,1,1,1,
193182,HON-2003-2-422-3,2003,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""AP,2003-08-05,Grenade explodes at Honduras prison killing 2 prisoners, injuring two others""",AP,2003-08-05,"Grenade explodes at Honduras prison killing 2 prisoners, injuring two others",authorities,1,Támara town,Central Penitentiary,Francisco Morazán department,Distrito Central municipality,14.150000,-87.333330,POINT (-87.33333 14.15),149946,Honduras,91,Americas,1,1,08/04/2003 00:00:00,08/04/2003 00:00:00,0,0,0,2,2,2,2,
193184,HON-2003-3-1639-0,2003,False,Clear,3,778,612,Mara Salvatrucha (Honduras) - Civilians,778,1079,Mara Salvatrucha (Honduras) - Civilians,778,778,Mara Salvatrucha (Honduras),9999,1,Civilians,1,"""AP,2003-08-05,Grenade explodes at Honduran prison killing 2 prisoners, injuring two others""",AP,2003-08-05,"Grenade explodes at Honduran prison killing 2 prisoners, injuring two others",authorities,1,San Pedro Sula town,San Pedro Sula town,Cortés department,San Pedro Sula municipality,15.504167,-88.025000,POINT (-88.025 15.504167),152104,Honduras,91,Americas,1,1,08/04/2003 00:00:00,08/04/2003 00:00:00,0,0,9,0,9,9,9,
193194,HON-2003-3-1639-1,2003,False,Clear,3,778,612,Mara Salvatrucha (Honduras) - Civilians,778,1079,Mara Salvatrucha (Honduras) - Civilians,778,778,Mara Salvatrucha (Honduras),9999,1,Civilians,2,"""The Irish Examiner,2003-08-31,12 die in Honduras street shootings"";""Associated Press Newswires,2003-08-31,Suspected gang members kills 12, wound 18 aboard buses in Honduras""",The Irish Examiner;Associated Press Newswires,2003-08-31;2003-08-31,"12 die in Honduras street shootings;Suspected gang members kills 12, wound 18 aboard buses in Honduras",officials,1,San Pedro Sula town,San Pedro Sula town,Cortés department,San Pedro Sula municipality,15.504167,-88.025000,POINT (-88.025 15.504167),152104,Honduras,91,Americas,1,1,08/31/2003 00:00:00,08/31/2003 00:00:00,0,0,0,12,12,12,12,
193195,HON-2003-3-1639-2,2003,False,Clear,3,778,612,Mara Salvatrucha (Honduras) - Civilians,778,1079,Mara Salvatrucha (Honduras) - Civilians,778,778,Mara Salvatrucha (Honduras),9999,1,Civilians,1,"""Associated Press Newswires,2003-11-08,Suspected Honduran gang members kill two women""",Associated Press Newswires,2003-11-08,Suspected Honduran gang members kill two women,police,1,San Pedro Sula town,San Pedro Sula town,Cortés department,San Pedro Sula municipality,15.504167,-88.025000,POINT (-88.025 15.504167),152104,Honduras,91,Americas,1,1,11/08/2003 00:00:00,11/08/2003 00:00:00,0,0,2,0,2,2,2,
193198,HON-2004-2-422-0,2004,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""La Voz de Galicia,2004-01-16,Centroamérica pone cerco a los pandilleros criminales.""",La Voz de Galicia,2004-01-16,Centroamérica pone cerco a los pandilleros criminales.,police,1,San Pedro Sula town,San Pedro Sula town,Cortés department,San Pedro Sula municipality,15.504167,-88.025000,POINT (-88.025 15.504167),152104,Honduras,91,Americas,1,1,01/20/2004 00:00:00,01/20/2004 00:00:00,0,1,0,0,1,1,1,
193201,HON-2004-2-422-1,2004,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""EFE News Service,2004-07-05,Gang member turned informant killed in Honduras""",EFE News Service,2004-07-05,Gang member turned informant killed in Honduras,authorities,1,San Pedro Sula town,San Pedro Sula town,Cortés department,San Pedro Sula municipality,15.504167,-88.025000,POINT (-88.025 15.504167),152104,Honduras,91,Americas,1,1,07/04/2004 00:00:00,07/04/2004 00:00:00,0,1,0,0,1,1,1,
193248,HON-2002-2-422-0,2002,False,Clear,2,5551,4941,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),5551,5551,Mara 18 (Honduras) - Mara Salvatrucha (Honduras),1099,1099,Mara 18 (Honduras),778,778,Mara Salvatrucha (Honduras),1,"""Reuters - Noticias Latinoamericanas,2002-09-04,ENFOQUE-Asesinatos de niños y jóvenes son cosa diaria en Hondura.""",Reuters - Noticias Latinoamericanas,2002-09-04,ENFOQUE-Asesinatos de niños y jóvenes son cosa diaria en Hondura.,authorities,1,Tegucigalpa city,Tegucigalpa city,Francisco Morazán department,Distrito Central municipality,14.100000,-87.216667,POINT (-87.216667 14.1),149946,Honduras,91,Americas,1,2,09/02/2002 00:00:00,09/03/2002 00:00:00,0,0,0,1,1,1,1,
193728,GUA-1989-1-228-999,1989,True,Clear,1,233,233,Guatemala: Government,469,469,Government of Guatemala - URNG,11,11,Government of Guatemala,732,732,URNG,-1,"Memoria de los Caídos, Fundación Guillermo Toriello 2006",,,,,3,Chisec municipality,"Carolina, Chisec, Alta Verpaz",Alta Verapaz department,Chisec municipality,15.878557,-90.273607,POINT (-90.273607151738 15.878557982237),152100,Guatemala,90,Americas,1,5,01/01/1989 00:00:00,12/31/1989 00:00:00,0,3,0,0,3,3,3,
193729,GUA-1990-1-228-43,1990,True,Clear,1,233,233,Guatemala: Government,469,469,Government of Guatemala - URNG,11,11,Government of Guatemala,732,732,URNG,-1,"Memoria de los Caídos, Fundación Guillermo Toriello 2006",,,,,1,Amachel town,"Amacchel, Chajul, Quiche",Quiché department,Chajul municipality,15.700000,-90.983330,POINT (-90.98333 15.7),152099,Guatemala,90,Americas,1,1,08/22/1990 00:00:00,08/22/1990 00:00:00,0,1,0,0,1,1,1,
193730,GUA-1992-1-228-21,1992,True,Clear,1,233,233,Guatemala: Government,469,469,Government of Guatemala - URNG,11,11,Government of Guatemala,732,732,URNG,-1,"Memoria de los Caídos, Fundación Guillermo Toriello 2006",,,,,3,La Libertad municipality,"San Antonio (Finca Monte Carmelo), La Libertad, Peten",Petén department,La Libertad municipality,16.783330,-90.116670,POINT (-90.11667 16.78333),153540,Guatemala,90,Americas,1,1,03/12/1992 00:00:00,03/12/1992 00:00:00,0,1,0,0,1,1,1,
193731,GUA-1990-3-90-3,1990,True,Clear,3,11,445,Government of Guatemala - Civilians,11,912,Government of Guatemala - Civilians,11,11,Government of Guatemala,9999,1,Civilians,-1,Reuters 14 Jul 1990,,,,"charity groups, including the Latin American chapter of the US-based Covenant House",1,Guatemala city,Guatemala City,Guatemala department,Guatemala municipality,14.613333,-90.535278,POINT (-90.535278 14.613333),150659,Guatemala,90,Americas,1,1,06/25/1990 00:00:00,06/25/1990 00:00:00,0,0,1,0,1,1,1,
