id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
120553,SAL-1989-1-225-18,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""The San Diego Union-Tribune,1989-03-20,Conservative claims El Salvador win.""",The San Diego Union-Tribune,1989-03-20,Conservative claims El Salvador win.,"military spokesman
",6,El Salvador,El Slavador,,,13.833300,-88.916700,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,2,2,03/18/1989 00:00:00,03/19/1989 00:00:00,6,23,0,0,29,29,29,
120555,SAL-1989-1-225-19,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""The Globe and mail,1989-03-25,3 soldiers killed in rebel attack.""",The Globe and mail,1989-03-25,3 soldiers killed in rebel attack.,"military sources
",1,El Roblar village,"El Roblar village (Guazapa Volcano)
",Chalatenango department,San Fernando municipality,14.300000,-89.033333,POINT (-89.033333 14.3),149942,El Salvador,92,Americas,1,1,03/23/1989 00:00:00,03/23/1989 00:00:00,3,0,0,0,3,3,3,
120556,SAL-1989-1-225-20,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""The Globe and Mail ,1989-03-25,3 soldiers killed in rebel attack.""",The Globe and Mail ,1989-03-25,3 soldiers killed in rebel attack.,"military sources
",2,San Isidro town,San Isidro town (near),Morazán department,San Isidro municipality,13.850000,-88.233333,POINT (-88.233333 13.85),149224,El Salvador,92,Americas,1,1,03/23/1989 00:00:00,03/23/1989 00:00:00,0,4,0,0,4,4,4,
120557,SAL-1989-1-225-21,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""The San Diego Union-Tribune,1989-03-27,After decade of civil war, death lurks at every corner in El Salvador.""",The San Diego Union-Tribune,1989-03-27,"After decade of civil war, death lurks at every corner in El Salvador.",,1,San Salvador city,"San Salvador city (middle-class neighborhood)
",San Salvador department,San Salvador municipality,13.708611,-89.203056,POINT (-89.203056 13.708611),149222,El Salvador,92,Americas,1,2,03/24/1989 00:00:00,03/26/1989 00:00:00,1,0,0,0,1,1,1,
120559,SAL-1989-1-225-22,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Reuters,1989-04-03, OVER 1,000 CASUALTIES REPORTED IN MARCH.""",Reuters,1989-04-03," OVER 1,000 CASUALTIES REPORTED IN MARCH.","COPREFA
",6,El Salvador,El Salvador ,,,13.833300,-88.916700,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,2,4,03/01/1989 00:00:00,03/31/1989 00:00:00,0,127,0,0,127,127,127,
120560,SAL-1989-1-225-23.1,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""The Globe and mail,1989-04-11,Guerrilla forces in El Salvador stepping up activities near cities.""",The Globe and mail,1989-04-11,Guerrilla forces in El Salvador stepping up activities near cities.,"authorities
",4,Chalatenango department,"Chalatenango department 
",Chalatenango department,,14.133333,-89.016667,POINT (-89.016667 14.133333),149942,El Salvador,92,Americas,2,3,04/03/1989 00:00:00,04/09/1989 00:00:00,0,0,0,5,5,5,5,
120561,SAL-1989-1-225-24,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Reuters,1989-04-29,MORE THAN 700 DEAD IN SALVADOR COMBAT IN 1989.""",Reuters,1989-04-29,MORE THAN 700 DEAD IN SALVADOR COMBAT IN 1989.,"military spokesman
",6,El Salvador,El Salvador,,,13.833300,-88.916700,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,2,5,01/01/1989 00:00:00,04/29/1989 00:00:00,165,275,0,0,440,440,440,
120562,SAL-1989-1-225-25,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Reuters,1989-05-11,SALVADOR MILITARY CHIEF DISMISSES REBEL OFFENSIVE.""",Reuters,1989-05-11,SALVADOR MILITARY CHIEF DISMISSES REBEL OFFENSIVE.,"military spokesman
",1,San Salvador city,San Salvador city,San Salvador department,San Salvador municipality,13.708611,-89.203056,POINT (-89.203056 13.708611),149222,El Salvador,92,Americas,1,1,05/10/1989 00:00:00,05/10/1989 00:00:00,14,19,0,0,33,33,33,
120564,SAL-1989-1-225-26,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""St. Louis Post-Dispatch ,1989-05-13,CLASHES KILL 15 REBELS, SALVADORAN ARMY SAYS.""",St. Louis Post-Dispatch ,1989-05-13,"CLASHES KILL 15 REBELS, SALVADORAN ARMY SAYS.","military spokesman
",1,San Luis de la Reina town,San Luis de la Reina town,San Miguel department,San Luis de la Reina municipality,13.816667,-88.350000,POINT (-88.35 13.816667),149224,El Salvador,92,Americas,2,2,05/11/1989 00:00:00,05/12/1989 00:00:00,0,10,0,0,10,10,10,
120565,SAL-1989-1-225-27,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""St. Louis Post-Dispatch ,1989-05-27,SALVADORAN TROOPS RAID LABOR OFFICE AFTER ATTACK.""",St. Louis Post-Dispatch ,1989-05-27,SALVADORAN TROOPS RAID LABOR OFFICE AFTER ATTACK.,"military spokesman
",1,San Salvador city,"San Salvador city (San Carlos barracks)
",San Salvador department,San Salvador municipality,13.708611,-89.203056,POINT (-89.203056 13.708611),149222,El Salvador,92,Americas,1,1,05/25/1989 00:00:00,05/25/1989 00:00:00,0,6,0,0,6,6,6,
120566,SAL-1989-1-225-28.1,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Latin American Weekly Report ,1989-06-08,Second major drive in FMLN offensive; Guerrillas say new weapons allow daylight operations.""",Latin American Weekly Report ,1989-06-08,Second major drive in FMLN offensive; Guerrillas say new weapons allow daylight operations.,"COPREFA / Rebel radio
",4,Chalatenango department,"Chalatenango department
",Chalatenango department,,14.133333,-89.016667,POINT (-89.016667 14.133333),149942,El Salvador,92,Americas,1,1,05/22/1989 00:00:00,05/22/1989 00:00:00,2,5,0,0,7,6,7,
120567,SAL-1989-1-225-29,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Latin American Weekly Report ,1989-06-08,Second major drive in FMLN offensive; Guerrillas say new weapons allow daylight operations.""",Latin American Weekly Report ,1989-06-08,Second major drive in FMLN offensive; Guerrillas say new weapons allow daylight operations.,"rebel spokesman / military spokesman
",1,San Salvador city,"San Salvador city (three military establishments in the northern district of the capital, San Salvador: the barracks of the 1st infantry brigade, the Zacamil police station and the offices of the Administracion General de Transito.)
",San Salvador department,San Salvador municipality,13.708611,-89.203056,POINT (-89.203056 13.708611),149222,El Salvador,92,Americas,1,1,05/26/1989 00:00:00,05/26/1989 00:00:00,2,0,5,0,7,13,7,
120568,SAL-1989-1-225-30,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,2,"""The Globe and mail,1989-06-26,AROUND THE WORLD Fighting in El Salvador heaviest since inauguration."";""Reuters,1989-06-23,SALVADOREAN REBELS ATTACK ACROSS COUNTRY. """,The Globe and mail;Reuters,1989-06-26;1989-06-23,AROUND THE WORLD Fighting in El Salvador heaviest since inauguration.;SALVADOREAN REBELS ATTACK ACROSS COUNTRY. ,"COPREFA / Rebel radio /Military
",4,Chalatenango department,Chalatenango department,Chalatenango department,,14.133333,-89.016667,POINT (-89.016667 14.133333),149942,El Salvador,92,Americas,1,1,06/23/1989 00:00:00,06/23/1989 00:00:00,8,16,0,0,24,24,24,
120569,SAL-1989-1-225-31,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,2,"""The Globe and Mail ,1989-06-28,AROUND THE WORLD Salvadorean leftists say they killed colonel"";""The Globe and mail,1989-06-27,President blames FMLN for killing of official.""",The Globe and Mail ;The Globe and mail,1989-06-28;1989-06-27,AROUND THE WORLD Salvadorean leftists say they killed colonel;President blames FMLN for killing of official.,"rebel statement
, Cristiani",2,San Salvador city,"San Salvador city (south)
",San Salvador department,San Salvador municipality,13.708611,-89.203056,POINT (-89.203056 13.708611),149222,El Salvador,92,Americas,1,1,06/26/1989 00:00:00,06/26/1989 00:00:00,1,0,0,0,1,1,1,
120570,SAL-1989-1-225-32,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Reuters,1989-07-07,SALVADOREAN ARMY BOOSTS SECURITY MEASURES IN CAPITAL.""",Reuters,1989-07-07,SALVADOREAN ARMY BOOSTS SECURITY MEASURES IN CAPITAL.,"military spokesman
San Salvador
",1,San Salvador city,"San Salvador
",San Salvador department,San Salvador municipality,13.708611,-89.203056,POINT (-89.203056 13.708611),149222,El Salvador,92,Americas,1,1,07/03/1989 00:00:00,07/03/1989 00:00:00,1,0,0,0,1,1,1,
120571,SAL-1989-1-225-33,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,2,"""Reuters,1989-09-06,SALVADOREAN GOVERNMENT TO DISCUSS PEACE WITH REBELS."";""Reuters,1989-09-05,SALVADORAN FIGHTING LEAVES 18 SOLDIERS, NINE REBELS DEAD. """,Reuters;Reuters,1989-09-06;1989-09-05,"SALVADOREAN GOVERNMENT TO DISCUSS PEACE WITH REBELS.;SALVADORAN FIGHTING LEAVES 18 SOLDIERS, NINE REBELS DEAD. ","military spokesman
",2,Chilanga town,Chilanga town (army positions),Morazán department,Chilanga municipality,13.716667,-88.116667,POINT (-88.116667 13.716667),149224,El Salvador,92,Americas,1,1,09/05/1989 00:00:00,09/05/1989 00:00:00,18,9,0,0,27,27,27,
120572,SAL-1989-1-225-34,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Radio YSU ,1989-09-26,FMLN announces military operation in response to government ""repression"".""",Radio YSU ,1989-09-26,"FMLN announces military operation in response to government ""repression"".","COPREFA
",4,Chalatenango department,Chalatenango department,Chalatenango department,,14.133333,-89.016667,POINT (-89.016667 14.133333),149942,El Salvador,92,Americas,1,1,09/26/1989 00:00:00,09/26/1989 00:00:00,0,14,0,0,14,14,14,
120573,SAL-1989-1-225-35,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""AFP ,1989-10-02,Government reportedly to offer total amnesty to FMLN.""",AFP ,1989-10-02,Government reportedly to offer total amnesty to FMLN.,,4,Morazán department,"Morazan department
",Morazán department,,13.800000,-88.100000,POINT (-88.1 13.8),149224,El Salvador,92,Americas,1,1,09/29/1989 00:00:00,09/29/1989 00:00:00,0,5,0,0,5,5,5,
120574,SAL-1989-1-225-36,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""AFP ,1989-10-02,Government reportedly to offer total amnesty to FMLN.""",AFP ,1989-10-02,Government reportedly to offer total amnesty to FMLN.,,4,Usulután department,Usulutan department,Usulután department,,13.433333,-88.533333,POINT (-88.533333 13.433333),148503,El Salvador,92,Americas,1,1,09/29/1989 00:00:00,09/29/1989 00:00:00,0,4,0,0,4,4,4,
120575,SAL-1989-1-225-37,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,3,"""St. Louis Post-Dispatch,1989-10-31,REBEL SHELL KILLS SALVADORAN CIVILIAN."";""Reuters,2014-09-24, FRESH WAVE OF VIOLENCE ENDANGERS SALVADOREAN PEACE TALKS. By Alberto Barrera "";""euters,1989-10-30,SALVADOREAN MILITARY HEADQUARTERS ATTACKED, ONE DEAD. """,St. Louis Post-Dispatch;Reuters;euters,1989-10-31;2014-09-24;1989-10-30,"REBEL SHELL KILLS SALVADORAN CIVILIAN.; FRESH WAVE OF VIOLENCE ENDANGERS SALVADOREAN PEACE TALKS. By Alberto Barrera ;SALVADOREAN MILITARY HEADQUARTERS ATTACKED, ONE DEAD. ","military spokesman
",1,San Salvador city,"San Salvador city (Defense Ministry)
",San Salvador department,San Salvador municipality,13.708611,-89.203056,POINT (-89.203056 13.708611),149222,El Salvador,92,Americas,1,1,10/30/1989 00:00:00,10/30/1989 00:00:00,0,0,1,0,1,1,1,
120576,SAL-1989-1-225-38,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,5,"""Reuters,1989-11-13,El Salvador under state of siege as rebels fights street-to street"";""Reuters,1989-11-15,Fierce fighting rages in El Salvador's capital."";""St. Louis Post-Dispatch,1989-11-16,SALVADORANS PUSHING REBELS OUT OF CAPITAL."";""St. Louis Post-Dispatch ,1989-11-21,ECURITY FORCES RAID SALVADORAN CHURCHES."";""The San Diego Union-Tribune ,1989-12-13,5 Latin nations sign new accord | Ortega joins in urging both Contra, Salvador rebels to quit.""",Reuters;Reuters;St. Louis Post-Dispatch;St. Louis Post-Dispatch ;The San Diego Union-Tribune ,1989-11-13;1989-11-15;1989-11-16;1989-11-21;1989-12-13,"El Salvador under state of siege as rebels fights street-to street;Fierce fighting rages in El Salvador's capital.;SALVADORANS PUSHING REBELS OUT OF CAPITAL.;ECURITY FORCES RAID SALVADORAN CHURCHES.;5 Latin nations sign new accord | Ortega joins in urging both Contra, Salvador rebels to quit.",gov spokesman / military spokesman /rebel spokesman,6,El Salvador,,,,13.833300,-88.916700,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,2,4,11/11/1989 00:00:00,11/19/1989 00:00:00,237,1050,81,0,1368,1368,1368,
120577,SAL-1989-1-225-39,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""The Globe and Mail ,1989-11-22,Foreigners trapped in Salvadorean rebel raid.""",The Globe and Mail ,1989-11-22,Foreigners trapped in Salvadorean rebel raid.,"military witnesses
",1,San Salvador city,"San Salvador city (Sheraton Hotel)
",San Salvador department,San Salvador municipality,13.708611,-89.203056,POINT (-89.203056 13.708611),149222,El Salvador,92,Americas,1,1,11/21/1989 00:00:00,11/21/1989 00:00:00,2,0,0,0,2,2,2,
120578,SAL-1989-1-225-40,1989,True,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""The San Diego Union-Tribune ,1989-11-28,Gunmen slay president's aide in El Salvador.""",The San Diego Union-Tribune ,1989-11-28,Gunmen slay president's aide in El Salvador.,"military spokesman
",1,San Salvador city,"San Salvador city
",San Salvador department,San Salvador municipality,13.708611,-89.203056,POINT (-89.203056 13.708611),149222,El Salvador,92,Americas,1,1,11/29/1989 00:00:00,11/29/1989 00:00:00,0,5,0,0,5,5,5,
